ID,Categoria,Personagem,Fase / Evolução,Tipo de Sprite / Animação,Perspectiva / Enquadramento,Prompt Positivo ComfyUI (CLIP Text Encode),Prompt Negativo ComfyUI,Resolução Recomendada (LxA),Checkpoint Recomendado,LoRA & Peso,Sampler & Scheduler,Steps & CFG,ControlNet / IP-Adapter,Notas de Pós-Processamento
SPR_PROT_01_IDLE,Protagonista,Deus Despedaçado,Imp Menor (A Casca),Idle,Top-Down 2.5D,"pixel art style, sprite sheet, multiple frames, pure chroma green background, game asset, 8-directional, crisp lines, clean contours, 0.8m tall, charcoal/crimson skin, blunt horns, sulfur yellow eyes, abyssal spark","noise, blurry anti-aliasing, complex background, unwanted realistic 3D shadows, text, deformations",1024x1024,SDXL Base,"Pixel Art LoRA:0.8, SpriteSheet LoRA:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg para transparência PNG pura, Image Crop"
SPR_PROT_02_WALK,Protagonista,Deus Despedaçado,Nobre Abissal,Walk,Top-Down 2.5D,"pixel art style, sprite sheet, multiple frames, pure chroma green background, game asset, 8-directional, crisp lines, clean contours, 2.1m tall, slate-gray skin, cobalt blue aether runes, retractable shadow wings, elegant obsidian horns","noise, blurry anti-aliasing, complex background, unwanted realistic 3D shadows, text, deformations",1024x1024,SDXL Base,"Pixel Art LoRA:0.8, SpriteSheet LoRA:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg para transparência PNG pura, Image Crop"
SPR_PROT_03_ATTACK,Protagonista,Deus Despedaçado,Arquidemônio,Attack,Top-Down 2.5D,"pixel art style, sprite sheet, multiple frames, pure chroma green background, game asset, 8-directional, crisp lines, clean contours, 3.2m tall, permanent levitation, crystalline horn crown, cloak of black flames and stellar embers, 3 pairs of vertical eyes","noise, blurry anti-aliasing, complex background, unwanted realistic 3D shadows, text, deformations",1024x1024,SDXL Base,"Pixel Art LoRA:0.8, SpriteSheet LoRA:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg para transparência PNG pura, Image Crop"
SPR_PROT_04_CAST,Protagonista,Deus Despedaçado,Avatar Primordial,Cast,Top-Down 2.5D,"pixel art style, sprite sheet, multiple frames, pure chroma green background, game asset, 8-directional, crisp lines, clean contours, 4.5m tall, cosmic nebulas, 6 wings of light and shadow, stellar aether halo, restored divine entity","noise, blurry anti-aliasing, complex background, unwanted realistic 3D shadows, text, deformations",1024x1024,SDXL Base,"Pixel Art LoRA:0.8, SpriteSheet LoRA:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg para transparência PNG pura, Image Crop"
SPR_APOS_KROUG_03_IDLE,Apóstolo,"Kroug, O Escudo das Cinzas",Rei Ogro de Fogo (Forma 3),Idle,Top-Down 2.5D,"pixel art style, sprite sheet, multiple frames, pure chroma green background, game asset, 8-directional, crisp lines, clean contours, 3.8m tall, volcanic rock, magma fissures, colossal molten obsidian club","noise, blurry anti-aliasing, complex background, unwanted realistic 3D shadows, text, deformations",1024x1024,SDXL Base,"Pixel Art LoRA:0.8, SpriteSheet LoRA:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg para transparência PNG pura, Image Crop"
SPR_APOS_LIRA_03_CAST,Apóstolo,"Lira, A Sacerdotisa da Floresta",Rainha Ent Primordial (Forma 3),Cast,Top-Down 2.5D,"pixel art style, sprite sheet, multiple frames, pure chroma green background, game asset, 8-directional, crisp lines, clean contours, 4.5m tall, monumental living roots, toxic flowers, healing emerald sap","noise, blurry anti-aliasing, complex background, unwanted realistic 3D shadows, text, deformations",1024x1024,SDXL Base,"Pixel Art LoRA:0.8, SpriteSheet LoRA:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg para transparência PNG pura, Image Crop"
SPR_APOS_THALKOR_03_ATTACK,Apóstolo,"Thal'kor, A Lâmina Cega",Serafim Negro (Forma 3),Attack,Top-Down 2.5D,"pixel art style, sprite sheet, multiple frames, pure chroma green background, game asset, 8-directional, crisp lines, clean contours, black silk blindfold over empty eyes, 6 razor steel feather wings, dual stellar aether katanas","noise, blurry anti-aliasing, complex background, unwanted realistic 3D shadows, text, deformations",1024x1024,SDXL Base,"Pixel Art LoRA:0.8, SpriteSheet LoRA:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg para transparência PNG pura, Image Crop"
SPR_APOS_GARM_03_RUN,Apóstolo,"Garm, O Devorador de Horizontes",Fenrir Menor (Forma 3),Walk/Run,Top-Down 2.5D,"pixel art style, sprite sheet, multiple frames, pure chroma green background, game asset, 8-directional, crisp lines, clean contours, two-story titanic wolf, icy blue flames mane, crushing paws","noise, blurry anti-aliasing, complex background, unwanted realistic 3D shadows, text, deformations",1024x1024,SDXL Base,"Pixel Art LoRA:0.8, SpriteSheet LoRA:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg para transparência PNG pura, Image Crop"
SPR_ANTAG_INQ_01_WALK,Inimigo/Elite,Inquisidores de Aço,Tríade,Walk,Top-Down 2.5D,"pixel art style, sprite sheet, multiple frames, pure chroma green background, game asset, 8-directional, crisp lines, clean contours, plate armor, white and gold hoods, anti-magic sacred chains, runic stakes, silver rapiers","noise, blurry anti-aliasing, complex background, unwanted realistic 3D shadows, text, deformations",1024x1024,SDXL Base,"Pixel Art LoRA:0.8, SpriteSheet LoRA:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg para transparência PNG pura, Image Crop"
SPR_BOSS_AURIUS_01_IDLE,Chefe,"Aurius, o Falso Deus",Entidade Solar,Idle,Top-Down 2.5D,"pixel art style, sprite sheet, multiple frames, pure chroma green background, game asset, 8-directional, crisp lines, clean contours, solar entity of geometric gold rings, 12 blinding plasma light wings, solar sword","noise, blurry anti-aliasing, complex background, unwanted realistic 3D shadows, text, deformations",1024x1024,SDXL Base,"Pixel Art LoRA:0.8, SpriteSheet LoRA:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg para transparência PNG pura, Image Crop"
